tips,trip_start_timestamp,trip_seconds,trip_miles,pickup_community_area,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_community_area,fare,tolls,extras,trip_total
0,2023-01-31T23:45:00.000,1719,15.1,76,41.980264315,-87.913624596,7,39.25,0,5,44.25
0,2023-01-31T23:45:00.000,1339,18.9,76,41.980264315,-87.913624596,33,46.75,0,4,50.75
0,2023-01-31T23:45:00.000,306,0.69,8,41.899602111,-87.633308037,8,5.5,0,0,5.5
0,2023-01-31T23:45:00.000,3664,13.94,76,41.980264315,-87.913624596,76,41.25,0,6.5,47.75
5.12,2023-01-31T23:45:00.000,5,0,,,,,20,0,0,25.62
2,2023-01-31T23:45:00.000,423,3.15,8,41.899602111,-87.633308037,6,10.5,0,0,13
0,2023-01-31T23:45:00.000,1740,0.6,2,42.001571027,-87.695012589,8,29.75,0,0,29.75
16.15,2023-01-31T23:45:00.000,2520,30.5,,,,76,72.25,0,8,96.4
0,2023-01-31T23:45:00.000,960,12,3,41.96581197,-87.655878786,37,30,0,0,30
0,2023-01-31T23:45:00.000,780,0.4,8,41.899602111,-87.633308037,3,17.75,0,0,17.75
0,2023-01-31T23:45:00.000,1260,12.4,36,41.82371281,-87.602350437,77,31.5,0,0,31.5
6.34,2023-01-31T23:45:00.000,1671,14.84,76,41.980264315,-87.913624596,6,37.75,0,4,48.59
0,2023-01-31T23:45:00.000,660,1.3,28,41.874005383,-87.66351755,32,8.5,0,0,8.5
0,2023-01-31T23:45:00.000,1161,7.79,8,41.899602111,-87.633308037,77,22,0,2,24
4.91,2023-01-31T23:45:00.000,1159,10.74,76,41.980264315,-87.913624596,14,27.75,0,4.5,37.66
0,2023-01-31T23:45:00.000,820,4.55,76,41.980264315,-87.913624596,76,14.75,0,5,19.75
16.69,2023-01-31T23:45:00.000,2051,25.5,76,41.980264315,-87.913624596,62,62.25,0,4,83.44
0,2023-01-31T23:45:00.000,60,0,56,41.79259236,-87.769615453,56,3.25,0,4,7.25
0,2023-01-31T23:45:00.000,33,0,,,,,3.25,0,15,18.75
0,2023-01-31T23:45:00.000,180,0,1,42.009622881,-87.670166857,1,4.75,0,0,4.75
0,2023-01-31T23:45:00.000,1113,10.26,76,41.980264315,-87.913624596,14,27,0,5,32
9.65,2023-01-31T23:45:00.000,1386,17.77,76,41.980264315,-87.913624596,32,43.75,0,4,57.9
10.45,2023-01-31T23:45:00.000,1423,19.31,76,41.980264315,-87.913624596,33,47.25,0,4.5,62.7
0,2023-01-31T23:45:00.000,1130,9.67,28,41.874005383,-87.66351755,77,25.75,0,0,25.75
0,2023-01-31T23:45:00.000,1293,12.54,44,41.740205756,-87.615969523,28,32.5,0,0,32.5
6,2023-01-31T23:45:00.000,1636,16.27,56,41.79259236,-87.769615453,6,40.75,0,4,51.25
0,2023-01-31T23:45:00.000,1389,18.78,76,41.980264315,-87.913624596,32,45.5,0,4,49.5
4,2023-01-31T23:45:00.000,137,0.3,8,41.899602111,-87.633308037,8,4,0,1,9.5
0,2023-01-31T23:45:00.000,946,14.32,76,41.980264315,-87.913624596,22,35.25,0,5.5,40.75
7.5,2023-01-31T23:45:00.000,1419,18.5,76,41.980264315,-87.913624596,32,45.5,0,4,57.5
0,2023-01-31T23:45:00.000,60,0,75,41.689729914,-87.669054403,75,3.25,0,27,30.25
5.55,2023-01-31T23:45:00.000,1088,10.21,8,41.899602111,-87.633308037,69,27.25,0,0,33.3
5.44,2023-01-31T23:45:00.000,1089,12.59,76,41.980264315,-87.913624596,22,31.75,0,4,41.69
0,2023-01-31T23:45:00.000,0,0,28,41.874005383,-87.66351755,28,3.25,0,0,3.25
10,2023-01-31T23:45:00.000,1441,17.74,76,41.97907082,-87.903039661,8,43.5,0,6,60
0,2023-01-31T23:45:00.000,780,0.2,7,41.922686284,-87.649488729,22,12.5,0,0,12.5
4.95,2023-01-31T23:45:00.000,818,6.83,,,,,19.25,0,5,29.7
0,2023-01-31T23:45:00.000,987,7.72,,,,,21,0,4.5,25.5
1.21,2023-01-31T23:45:00.000,600,4.5,7,41.922686284,-87.649488729,3,14.25,0,10,25.46
0,2023-01-31T23:45:00.000,526,3.29,76,41.980264315,-87.913624596,76,11,0,5,16
0,2023-01-31T23:45:00.000,423,1.1,8,41.899602111,-87.633308037,8,6.75,0,0,6.75
11.25,2023-01-31T23:45:00.000,1853,16.22,76,41.980264315,-87.913624596,,40.5,0,4,56.25
7.3,2023-01-31T23:45:00.000,1621,12.4,76,41.980264315,-87.913624596,4,32,0,4,43.8
7.24,2023-01-31T23:45:00.000,1394,17.83,76,41.980264315,-87.913624596,8,43.75,0,4,55.49
3,2023-01-31T23:45:00.000,1186,17.17,76,41.980264315,-87.913624596,28,42,0,4,49.5
9.3,2023-01-31T23:45:00.000,1560,12.5,76,41.980264315,-87.913624596,3,32.75,0,4,46.05
0,2023-01-31T23:45:00.000,979,12.22,28,41.874005383,-87.66351755,72,31.5,0,0,31.5
9.65,2023-01-31T23:45:00.000,1320,0.8,56,41.79259236,-87.769615453,24,34.25,0,4,47.9
0,2023-01-31T23:45:00.000,2142,11.42,66,41.771848515,-87.695666342,32,32,0,0,32
1.84,2023-01-31T23:45:00.000,487,1.8,8,41.899602111,-87.633308037,8,10,0,0,11.84
6.55,2023-01-31T23:45:00.000,1202,10.97,76,41.980264315,-87.913624596,13,28.25,0,4,39.3
0,2023-01-31T23:45:00.000,1874,14.58,76,41.980264315,-87.913624596,2,39,0,4,43
0,2023-01-31T23:45:00.000,628,1.96,32,41.878865584,-87.625192142,8,9.25,0,0,9.25
3,2023-01-31T23:30:00.000,354,1.21,8,41.899602111,-87.633308037,8,6.5,0,0,10
0.1,2023-01-31T23:30:00.000,2659,44.04,76,41.97907082,-87.903039661,,103.25,0,60,163.85
12.15,2023-01-31T23:30:00.000,1080,14.35,76,41.980264315,-87.913624596,7,36,0,4,52.65
0,2023-01-31T23:30:00.000,960,5.8,28,41.874005383,-87.66351755,29,17.25,0,0,17.25
8.45,2023-01-31T23:30:00.000,956,15.34,76,41.980264315,-87.913624596,24,37.75,0,4,50.7
9.7,2023-01-31T23:30:00.000,1281,18.04,76,41.980264315,-87.913624596,8,44,0,4,58.2
6.81,2023-01-31T23:30:00.000,1411,9.98,8,41.899602111,-87.633308037,1,26.63,0,0,33.44
0,2023-01-31T23:30:00.000,384,1.2,1,42.009622881,-87.670166857,77,6,0,0,6
7.9,2023-01-31T23:30:00.000,1800,13.7,76,41.980264315,-87.913624596,77,35,0,4,46.9
0,2023-01-31T23:30:00.000,1373,17.1,28,41.874005383,-87.66351755,76,43,0,6,49
0,2023-01-31T23:30:00.000,420,0.1,24,41.901206994,-87.676355989,7,7.5,0,0,7.5
0,2023-01-31T23:30:00.000,1200,9.7,32,41.878865584,-87.625192142,,26.5,0,0,26.5
4.88,2023-01-31T23:30:00.000,790,4.8,76,41.980264315,-87.913624596,,15,0,4,24.38
7.88,2023-01-31T23:30:00.000,1014,12.17,8,41.899602111,-87.633308037,10,31,0,0,39.38
4,2023-01-31T23:30:00.000,1661,14.19,76,41.980264315,-87.913624596,6,36.25,0,4,44.75
0,2023-01-31T23:30:00.000,558,1.72,28,41.874005383,-87.66351755,8,8.25,0,2.5,10.75
4,2023-01-31T23:30:00.000,453,0.76,32,41.878865584,-87.625192142,8,6.25,0,0,10.75
0,2023-01-31T23:30:00.000,910,3.37,6,41.944226601,-87.655998182,4,12.5,0,0,12.5
10.15,2023-01-31T23:30:00.000,1328,18.19,76,41.97907082,-87.903039661,8,44.25,0,6,60.9
0,2023-01-31T23:30:00.000,1128,8.54,,,,,23,0,0,23
0,2023-01-31T23:30:00.000,2603,6.73,11,41.978829526,-87.771166703,76,30,0,0,30
7.7,2023-01-31T23:30:00.000,1334,13.3,76,41.980264315,-87.913624596,22,34,0,4,46.2
2,2023-01-31T23:30:00.000,303,0.95,8,41.899602111,-87.633308037,32,6,0,0,8.5
0,2023-01-31T23:30:00.000,1560,14.9,76,41.980264315,-87.913624596,,37.75,0,6,43.75
0,2023-01-31T23:30:00.000,1384,18.14,76,41.980264315,-87.913624596,28,45,0,10,55
1.23,2023-01-31T23:30:00.000,468,3.65,28,41.874005383,-87.66351755,7,10,0,0,11.23
0,2023-01-31T23:30:00.000,1379,12.27,32,41.878865584,-87.625192142,66,34.86,0,0,34.86
6.85,2023-01-31T23:30:00.000,1440,0.7,,,,4,29.75,0,4,40.6
0,2023-01-31T23:30:00.000,1372,9.41,33,41.857183858,-87.620334624,46,26.5,0,0,26.5
0,2023-01-31T23:30:00.000,855,13.53,28,41.874005383,-87.66351755,49,33.75,0,0,33.75
0,2023-01-31T23:30:00.000,995,12.87,76,41.980264315,-87.913624596,21,32.25,0,4,36.25
0,2023-01-31T23:30:00.000,1025,13.16,28,41.874005383,-87.66351755,49,33,0,0,33
7.1,2023-01-31T23:30:00.000,1097,11.86,76,41.980264315,-87.913624596,16,30.5,0,4.5,42.6
0,2023-01-31T23:30:00.000,162,0.44,8,41.892042136,-87.63186395,8,4.5,0,0,4.5
