tips,trip_start_timestamp,trip_seconds,trip_miles,pickup_community_area,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_community_area,fare,tolls,extras,trip_total
2.21,2023-05-31T23:45:00.000,457,3.01,76,41.980264315,-87.913624596,76,10.25,0,4,16.96
0,2023-05-31T23:45:00.000,1466,8.23,76,41.980264315,-87.913624596,76,24.25,0,2,26.25
7.16,2023-05-31T23:45:00.000,1274,17.61,76,41.97907082,-87.903039661,8,43.25,0,4,54.91
11.38,2023-05-31T23:45:00.000,1811,15.84,76,41.980264315,-87.913624596,6,40.5,0,4.5,56.88
6,2023-05-31T23:45:00.000,1322,18.37,76,41.980264315,-87.913624596,8,44.75,0,4.5,55.75
6.6,2023-05-31T23:45:00.000,1260,10.6,56,41.79259236,-87.769615453,32,28.5,0,4,39.1
0,2023-05-31T23:45:00.000,2400,12.6,,,,76,36.25,0,26.25,62.5
9.85,2023-05-31T23:45:00.000,1509,18.23,76,41.980264315,-87.913624596,8,44.75,0,4,59.1
0,2023-05-31T23:45:00.000,343,0.04,76,41.97907082,-87.903039661,76,4,0,0,4
10,2023-05-31T23:45:00.000,1381,18.31,76,41.97907082,-87.903039661,32,45,0,5,60.5
7.5,2023-05-31T23:45:00.000,1247,12.41,,,,32,32.5,0,4.5,45
0,2023-05-31T23:45:00.000,1753,12.24,48,41.729676423,-87.572717134,61,35.25,0,0,35.25
0,2023-05-31T23:45:00.000,0,0,24,41.901206994,-87.676355989,24,3.25,0,11.25,14.5
3,2023-05-31T23:45:00.000,708,6.36,76,41.97907082,-87.903039661,,18,0,13.5,35
0,2023-05-31T23:45:00.000,1680,15.86,56,41.79259236,-87.769615453,8,40.5,0,4,44.5
2,2023-05-31T23:45:00.000,242,0.49,8,41.899602111,-87.633308037,8,5,0,1,8.5
0,2023-05-31T23:45:00.000,1260,12,56,41.785998518,-87.750934289,8,31.5,0,4,35.5
0,2023-05-31T23:45:00.000,1858,13.09,76,41.980264315,-87.913624596,3,34.5,0,5,39.5
9.25,2023-05-31T23:45:00.000,1380,16.7,76,41.980264315,-87.913624596,8,41.75,0,4,55
